datetime_utc,counts_raw,counts_clean,rolling_mean,rolling_std,zscore,nowcast_probability,forecast_class,alert_level,hxr,is_true_flare,label_nowcast,nowcast_proba
2026-06-30 06:55:01,4.8,4.800000190734863,4.800000190734863,1e-05,0.0,0.0611,B2.1,normal,2.700000047683716,0,0,0.0
2026-06-30 06:55:02,,5.022222412957086,4.911111301845974,0.1571348402636776,0.7071067361865518,,,,2.544444481531779,0,0,0.0
2026-06-30 06:55:03,,5.244444635179308,5.022222412957086,0.22222222222222254,0.999999955000001,,,,2.3888889153798423,0,0,0.0
2026-06-30 06:55:04,,5.46666685740153,5.133333524068197,0.2868876552746236,1.1618949633622249,,,,2.2333333492279053,0,0,0.0
2026-06-30 06:55:05,,5.688889079623753,5.244444635179308,0.3513641844631533,1.2649110280673532,,,,2.0777777830759683,0,0,0.0
2026-06-30 06:55:06,,5.911111301845974,5.3555557462904195,0.41573970964154894,1.3363061774192633,,,,1.9222222169240315,0,0,0.0
2026-06-30 06:55:07,,6.133333524068196,5.466666857401529,0.48005486654873036,1.3887301207302571,,,,1.7666666507720947,0,0,0.0
2026-06-30 06:55:08,,6.355555746290419,5.577777968512641,0.5443310539518175,1.4288689903735203,,,,1.6111110846201577,0,0,0.0
2026-06-30 06:55:09,,6.577777968512641,5.688889079623753,0.6085806194501848,1.4605934626804418,,,,1.455555518468221,0,0,0.0
2026-06-30 06:55:10,6.8,6.800000190734863,5.800000190734863,0.6728111897994428,1.4863010608296776,0.0229,B2.1,normal,1.2999999523162842,0,0,0.0
2026-06-30 06:55:11,,7.0625001192092896,5.914772911505266,0.7431742454975521,1.5443581356779168,,,,2.0874999463558197,0,0,0.0
2026-06-30 06:55:12,,7.325000047683716,6.032291839520137,0.817206538154187,1.5818622734771288,,,,2.8749999403953552,0,0,0.0
2026-06-30 06:55:13,,7.587499976158142,6.151923234646137,0.8934349638329027,1.6068060726941027,,,,3.6624999344348907,0,0,0.0
2026-06-30 06:55:14,,7.849999904632568,6.273214425359454,0.9709715614593398,1.623925484144974,,,,4.449999928474426,0,0,0.0
2026-06-30 06:55:15,,8.112499833106995,6.395833452542623,1.0492737105411494,1.6360520109843442,,,,5.237499922513962,0,0,0.0
2026-06-30 06:55:16,,8.374999761581421,6.519531346857548,1.1280051728240197,1.6449112495020737,,,,6.024999916553497,0,0,0.0
2026-06-30 06:55:17,,8.637499690055847,6.644117719986859,1.2069552331506173,1.6515790302757996,,,,6.812499910593033,0,0,0.0
2026-06-30 06:55:18,8.9,8.899999618530273,6.7694444921281605,1.285990936313636,1.656741933144605,0.0453,B2.1,normal,7.599999904632568,0,0,0.0
2026-06-30 06:55:19,,7.67142824615751,6.8169173212876,1.266773913719572,0.6745567688675241,,,,6.528571347040789,0,0,0.0
2026-06-30 06:55:20,,6.442856873784747,6.798214298912457,1.2358209679168095,-0.2875476557508573,,,,5.45714278944901,0,0,0.0
2026-06-30 06:55:21,,5.214285501411982,6.722789118079101,1.2531396201079634,-1.2037793558066265,,,,4.385714231857232,0,0,0.0
2026-06-30 06:55:22,,3.985714129039219,6.598376618577288,1.3550299821775855,-1.9281215210147633,,,,3.314285674265453,0,0,0.0
